epoch,accuracy,loss,val_accuracy,val_loss,cats_acuracy,dogs_acuracy
0,0.931,0.16455885105393464,0.9475,0.17346290759123661,0.994475138121547,0.908675799086758
1,0.971,0.07833337802738698,0.97,0.0731515720157673,0.9497607655502392,0.9921465968586387
2,0.988,0.03215639243848159,0.96875,0.09029212525507546,0.9746835443037974,0.9629629629629629
3,1.0,0.00291038909550803,0.97375,0.08516371455207343,0.974937343358396,0.972568578553616
4,1.0,0.000505098273598783,0.9725,0.080436271937714,0.9565217391304348,0.9896373056994818
5,1.0,0.00027879134226569844,0.97375,0.0820258235226852,0.9588377723970944,0.9896640826873385
6,1.0,0.00017129182604419313,0.9762500000000001,0.08186170940828014,0.9635036496350365,0.9897172236503856
7,1.0,0.00013400843884031844,0.9762500000000001,0.08199974985512086,0.9635036496350365,0.9897172236503856
8,1.0,0.00014062388235002387,0.9762500000000001,0.08195779629445311,0.9635036496350365,0.9897172236503856
9,1.0,0.00012281951171155825,0.9762500000000001,0.08223535130067244,0.9635036496350365,0.9897172236503856
